#,NOME,DESCRIÇÃO,LINK,ORIGEM,SECRETARIA / RESPONSÁVEL,SIA+?,DOMÍNIO TEMÁTICO,PÚBLICO-ALVO,PRIVACIDADE,MODELO BASE UTILIZADO,VERSÃO DO MODELO,Temperatura (nível de criatividade),FORMATO DA ENTRADA,FORMATO DA RESPOSTA,DATA DISPONIBILIZAÇÃO,Estratégia de resposta (ex: só com base na base de conhecimento? Pode usar internet?),BASE DE CONHECIMENTO UTILIZADA,DOCUMENTAÇÃO
7,Assistente Virtual da Investe Piauí,Assistente virtual especializado da Investe Piauí. Ele oferece respostas rápidas e precisas sobre os temas da empresa. Informações oficiais da Investe Piauí acessíveis de forma ágil.,,CAPACITIA (ALUNOS),INVESTE PIAUÍ,FALSE,"GESTÃO PÚBLICA 
OBS: Equipe interna da InvestePI",Empresas,Interno do Órgão,,,,,,,,,Baixar
8,Assistente de IA para Análise de Fluxo de Pessoas no HUB Investe Piauí,"Otimize a Gestão e Segurança do HUB com Inteligência Artificial
Insights Precisos para um Fluxo de Pessoas Eficiente",,CAPACITIA (ALUNOS),INVESTE PIAUÍ,FALSE,,,,,,,,,,,,Baixar
1,RegIA: Seu Assistente Inteligente para Registro de Empresas,"Um agente inteligente desenvolvido para fornecer orientações sobre procedimentos relacionados ao registro de empresas. Fundamentado na legislação oficial, o assistente facilita o entendimento e auxilia na resolução das principais questões eventualmente enfrentadas pelos usuários das Juntas Comerciais.",,CAPACITIA (ALUNOS),JUCEPI,FALSE,"SAÚDE, EDUCAÇÃO, XXXX",Cidadão,Público em Geral,"ex: GPT-4-turbo, Claude, Llama","GPT-3o, Gemini-2.0-flash, Qwen2.5-VL, XXX",,"TEXTO, ÁUDIO, IMAGEM, VÍDEO, ETC","TEXTO, ÁUDIO, IMAGEM, VÍDEO, ETC",,,,Baixar
22,Assistente de IA Analista de Dados para Gerenciamento Integrado do LACEN/PI,"O assistente de IA oferece funcionalidades robustas, incluindo análise de dados, integração de informações e suporte ao planejamento estratégico. Essas ferramentas são essenciais para otimizar as operações do LACEN/PI.",,CAPACITIA (ALUNOS),LACEN/PI,FALSE,,,,,,,,,,.,,Baixar
23,"MARIA: Assistente de IA para o LACEN PI - Coleta de Amostras
",Solução inovadora para otimizar o atendimento e esclarecer dúvidas sobre os procedimentos de coleta de amostras no LACEN PI,,CAPACITIA (ALUNOS),LACEN/PI,FALSE,,,,,,,,,,,,Baixar
45,Estoquer A.I,"OBJETIVO: Criar um assistente com Inteligência artificial para auxiliar microempreendedores que estão iniciando seu negocio sozinho e com baixo orçamento, auxiliando-os no gerenciamento de estoque e fornecendo uma consultoria de melhorias no seu dia a dia como empreendedor.",,CAPACITIA (ALUNOS),PIT,,EMPREENDEDORISMO,Empresas,,,,,,,,,,Baixar
47,"Pitchat - O Chatbot que Impulsiona a Comunicação com IA
Pitchat - Chatbot de Análise de Prompt","O Pitchat é um chatbot de última geração, projetado para melhorar a qualidade e a eficácia das interações com sistemas de IA. Ele atua como um intermediário inteligente, analisando os prompts fornecidos pelos usuários e oferecendo feedback construtivo e sugestões de aprimoramento.",,CAPACITIA (ALUNOS),PIT,,,,,,,,,,,,,Baixar
48,"IA para gerar petições jurídicas, diversas áreas do direito",Desenvolver uma IA para gerar petições jurídicas em diversas áreas do direito.,,CAPACITIA (ALUNOS),PIT,,JUSTIÇA / DIREITO,Gestão Pública,,,,,,,,,,Baixar
58,CAF FÁCIL 3 Chatbot para Emissão do CAF,"Facilitar emissão do Cadastro Nacional da Agricultura Familiar (CAF).
CAF garante acesso a crédito e assistência técnica pública.
Responde dúvidas e orienta o agricultor simplificando o processo.
Permite envio de documentos e assinatura digital via chatbot.
Integração e emissão automática imediata do CAF digital.",,CAPACITIA (ALUNOS),SADA-PI,,AGRICULTURA,Cidadão,,,,,,,,,,Baixar
59,Safinho: Guia de Uso dos Veículos Oficiais da SAF-PI,Assistente virtual da Secretaria da Agricultura Familiar do Piauí. Vou ajudar você a usar de forma correta e segura os veículos oficiais da SAF-PI.,,CAPACITIA (ALUNOS),SAF-PI,,GESTÃO PÚBLICA,Gestão Pública,,,,,,,,,,Baixar
55,Assistente SASC: Gestão Eficiente de Servidores com IA,"Apresentamos o Assistente Regina uma solução inteligente para apoiar a equipe de gestão de pessoas da Secretaria de Assistência Social,Trabalho e Direitos Humanos. Baseado em inteligência artificial, este assistente multifuncional sistematiza e atualiza com precisão os prontuários dos servidores, consolidando dados cruciais e facilitando a análise do quadro funcional.
Este projeto inicia um novo padrão de eficiência na administração pública, permitindo decisões mais rápidas e embasadas para a gestão estratégica de recursos humanos.",,CAPACITIA (ALUNOS),SASC,,GESTÃO PÚBLICA / RECURSOS HUMANOS,Gestão Pública,,,,,,,,,,Baixar
18,Projeto Agente GDI: Chatbot para comunicação e Gestão de Informação,"Implementação de chatbot da Gerência de Dados de Infraestrutura para otimizar comunicação e fluxo de informação com diretores além do registro de demandas, evitando ruídos de comunicação e validando as informações.
OBJETIVO: Respostas automatizadas para consultas simples. Sistema de registro de demandas de diretores. Acompanhamento da solução de solicitações.",,CAPACITIA (ALUNOS),SEDUC,FALSE,,,,,,,,,,,,Baixar
19,"Consulta de Horas Extras e Adicionais no Piauí
","Apresentamos uma ferramenta para consulta de horas extras e adicionais.
Insira dados e obtenha informações sobre horas extras.
A ferramenta calcula os valores devidos conforme a lei.
A ferramenta simplifica a gestão de pagamentos e economiza tempo.

",,CAPACITIA (ALUNOS),SEDUC,FALSE,,,,,,,,,,,,Baixar
25,Automação do Processo de Devolução de Mercadorias,"Projeto de desenvolvimento de uma assistente digital para automatizar a análise de documentos no processo de devolução de mercadorias, na Unidade de Trânsito de Mercadorias (UNITRAN), da Secretaria da Fazenda do Estado do Piauí (SEFAZ/PI).
OBJETIVO: O objetivo principal é desenvolver uma assistente digital que automatize a análise da documentação, conferindo a validade e consistência dos documentos relacionados à devolução de mercadorias, garantindo a eficiência e precisão do processo.",,CAPACITIA (ALUNOS),SEFAZ/PI,FALSE,,,,,,,,,,,,Baixar
26,Automação de Relatório Mensal de Atendimentos Virtuais,"Este projeto visa automatizar a geração do relatório mensal de atendimentos virtuais, garantindo agilidade, precisão e padronização na análise dos dados.
ESCOPO: Coletar dados dos atendimentos realizados no período de um mês. Processar e estruturar os dados. Gerar automaticamente gráficos e tabelas. Exportar o relatório em formato acessível (Excel, PDF ou Dashboard interativo).",,CAPACITIA (ALUNOS),SEFAZ/PI,FALSE,,,,,,,,,,,,Baixar
27,"Assistente Virtual para Atualização de Regimento Interno
","O assistente deve analisar versões antigas do regimento para identificar alterações necessárias e inconsistências. O assistente deve armazenar um histórico completo das versões anteriores, com marcação clara das alterações feitas ao longo do tempo",,CAPACITIA (ALUNOS),SEFAZ/PI,FALSE,,,,,,,,,,,,Baixar
39,"Projeto para construção de IA para captar os contratos do pncp para auxiliar na pesquisa de mercado
Projeto de IA para: Pesquisa de mercado
","O uso de IA na pesquisa de mercado para contratações públicas é uma solução inovadora e estratégica que permitirá à SEGOV- PI otimizar seus processos administrativos, garantir maior eficiência e proporcionar economia ao erário público.
A IA deverá coletar os dados do PNCP, principalmente da sessão de contratos e baixar os arquivos para auxiliar na triagem da pesquisa. Utilizando algoritmos de aprendizado de máquina, a IA retorna dados que outrora seria coletados manualmente para facilitar no acesso das informações.",,CAPACITIA (ALUNOS),SEGOV-PI,,GESTÃO PÚBLICA,Gestão Pública,,,,,,,,,,Baixar
3,Assistente de IA para SEMARH,"Acesso rápido a leis e normas ambientais. Interpretação contextualizada da legislação vigente. Auxilia na análise de processos. Verifica conformidade com
requisitos legais.",,CAPACITIA (ALUNOS),SEMARH,FALSE,MEIO AMBIENTE,,,,,,,,,,,Baixar
28,"Sistema Integrado de Análise e Geração Automática de Relatórios com NLP
","Atividades administrativas como interpretação, análise e geração de relatórios consomem tempo significativo. Este projeto propõe a aplicação de modelos avançados de Processamento de Linguagem Natural (NLP), como GPT-4, para automatizar e otimizar esses processos.
",,CAPACITIA (ALUNOS),SEPLAN/PI,FALSE,,,,,,,,,,,,Baixar
30,Automação da Inserção de Produtos PPA,"Este projeto visa automatizar o processo de inserção de produtos PPA pelas setoriais, otimizando a coleta de dados, comunicação e reduzindo erros. 
O projeto utiliza a plataforma Dify AI alimentada por chave API Searchapi e Google Studio para criar o assistente Tio Kerle que automatiza os processos de coleta de dados e comunicação referentes à inserção de produtos ao PPA.
O projeto serve como piloto para a automação de outros processos semelhantes, expandindo a utilização da ferramenta para otimizar a gestão de dados e comunicação na SEPLAN.",,CAPACITIA (ALUNOS),SEPLAN/PI,FALSE,,,,,,,,,,,,Baixar
32,Monitoramento Inteligente: IA no Acompanhamento da Primeira Infância.,"OBJETIVO: Este projeto visa otimizar o acompanhamento da execução orçamentária e financeira do Programa Pacto pelas Crianças, utilizando inteligência artificial para garantir maior transparência e controle dos recursos públicos.
Identificar as movimentações orçamentárias e financeiras executadas pelas entidades públicas responsáveis. - Subsidiar os gestores na avaliação e condução das políticas vinculadas ao Pacto.",,CAPACITIA (ALUNOS),SEPLAN/PI,FALSE,,,,,,,,,,,,Baixar
21,Controle Diário de Processos do SEI na SESAPI - ControLIA,"A ideia dos integrantes do grupo é definir um chatbot especializado para a Secretaria de Saúde do Piauí, focado no acompanhamento de processos administrativos, que poderá ser ampliado para todos os órgãos do estado que utilizam o Sistema Eletrônico de Informações (SEI). Ele atuará como um consultor virtual, fornecendo informações rápidas e precisas sobre o status de processos, ajudando gestores e servidores na tomada de decisão, dentre outras funções.",,CAPACITIA (ALUNOS),SESAPI,FALSE,,,,,,,,,,,,Baixar
42,AGENTE VITOR.IA: Agente Virtual de Otimização de Respostas Processuais em IA,"Criada pela equipe do Gabinete da SSP para otimizar o tempo dos servidores na leitura e confecção de documentos.
Ler e compreender textos e retornar ao usuário um modelo de documento a ser utilizado no sistema SEI de acordo com a autoridade que irá assinar.",,CAPACITIA (ALUNOS),SSP,,GESTÃO PÚBLICA,Gestão Pública,,,,,,,,,,Baixar
10,Capivara_SRN: Chatbot UESPI-SRN,"Um chatbot para facilitar o acesso à informação na UESPI - Campus São Raimundo Nonato. O projeto visa otimizar a comunicação entre alunos e instituição, oferecendo respostas rápidas e precisas.
OBJETIVOS: Processos, prazos, SiSU e SIGPREG estarão acessíveis via chatbot. Esclarecimentos sobre cancelamento, e-mail institucional e histórico acadêmico. Dados sobre a UESPI e o Campus São Raimundo Nonato.",,CAPACITIA (ALUNOS),UESPI,FALSE,,,,,,,,,,,,Baixar
11,DIZ AI UAPI: Seu Tutor Virtual na UAPI,"Projeto do Agente Virtual, uma espécie de Tutor virtual para tirar as dúvidas dos conteúdos, auxiliar os alunos nas atividades acadêmicas dos Cursos de Bacharelado em Administração, Sistemas para Internet e Energias Renováveis, da UNIVERSIDADE ABERTA DO PIAUÍ - UAPI.",,CAPACITIA (ALUNOS),UESPI,FALSE,,,,,,,,,,,,Baixar
12,Assistente Virtual UESPI: Inovação e Tecnologia a Serviço da Comunidade Acadêmica,"Apresentamos o assistente virtual da UESPI, uma solução inovadora para otimizar a experiência acadêmica. Este assistente foi criado para facilitar o acesso a informações e serviços.
Acesso rápido a informações acadêmicas e suporte. Redução da carga de trabalho administrativa e suporte ao ensino. Otimização de processos internos e atendimento ao público.",,CAPACITIA (ALUNOS),UESPI,FALSE,,,,,,,,,,,,Baixar
13,Assistente CPL UESPI: Inovação no Atendimento Institucional,"O Assistente CPL UESPI representa uma nova abordagem no atendimento institucional, utilizando inteligência artificial para otimizar a comunicação e o acesso à informação. Esta ferramenta foi projetada para modernizar a interação entre a CPL e seus usuários, proporcionando um suporte mais eficiente e personalizado.",,CAPACITIA (ALUNOS),UESPI,FALSE,,,,,,,,,,,,Baixar
16,Partiu Colação Uespi,"""Partiu Colação UESPI"" é um agente de atendimento criado para fornecer informações sobre a colação de grau de forma ágil e acessível.
OBJETIVO: Oferecer acesso facilitado a alunos e professores sobre os prazos da colação de grau. Disponibilizar informações claras sobre a documentação necessária para a colação de grau. Otimizar o processo de colação de grau, tornando-o mais organizado e eficiente.

",,CAPACITIA (ALUNOS),UESPI,FALSE,,,,,,,,,,,,Baixar
2,Implementação de um Agente Consultor de Empresas e Auxiliador de Soft Landing,"Um agente inteligente desenvolvido para fornecer orientações sobre procedimentos relacionados ao registro de empresas. Fundamentado na legislação oficial, o assistente facilita o entendimento e auxilia na resolução das principais questões eventualmente enfrentadas pelos usuários das Juntas Comerciais.",,CAPACITIA (ALUNOS),_VALIDANDO_,FALSE,,,,,,,,,,,,Baixar
14,Assistente Virtual para Estudantes de Concursos,"Este assistente virtual foi desenvolvido para auxiliar estudantes de concursos públicos, oferecendo orientação personalizada, dicas de estudo eficazes e apoio motivacional. Através de técnicas de estudo comprovadas e planejamento estratégico, o assistente visa guiar o estudante do início ao avançado na jornada de aprovação.",,CAPACITIA (ALUNOS),_VALIDANDO_,FALSE,,,,,,,,,,,,Baixar
20,Assistente Virtual Vigisaúde,"Suporte a Protocolos de Saúde Pública no Estado do Piauí. O Vigisaúde oferece suporte essencial, atuando como um guia para profissionais de saúde. Ele está disponível nos 224 municípios do Piauí, fornecendo orientação e direcionamento.
OBJETIVO: Orientar profissionais de saúde no enfrentamento de surtos, epidemias e pandemias.",,CAPACITIA (ALUNOS),SESAPI,FALSE,,,,,,,,,,,,Baixar
24,Criação de um assistente de automação para a DUTEC,"Este assistente de automação permitirá agilizar o atendimento às demandas da DUTEC, otimizando processos e liberando tempo para a equipe se concentrar em tarefas estratégicas.
OBJETIVO: Automatizar o atendimento a solicitações feitas à DUTEC, incluindo desenvolvimento de produtos, painéis e aplicativos, com foco em agilidade e precisão.",,CAPACITIA (ALUNOS),_VALIDANDO_,FALSE,,,,,,,,,,,,Baixar
29,Apresentação: Funcionalidades do Assistente para o Balanço Anual do Governo do Piauí,"Este assistente foi desenvolvido para auxiliar na elaboração do Balanço Anual do Governo do Piauí, otimizando a organização e apresentação de resultados.",,CAPACITIA (ALUNOS),_VALIDANDO_,FALSE,,,,,,,,,,,,Baixar
31,"OGER : O gênio das Energias Renováveis
Assistente virtual de Energias Renováveis com LangFLow","O assistente virtual é construído com base em LangFlow, GPT e APIs de energia renovável. APIs de energia renovável garantem dados precisos e atualizados sobre diferentes fontes de energia.
OBJETIVO: Facilitar o acesso a informações sobre energias renováveis para um público amplo, desde estudantes até empresas e consumidores. Fornecer conhecimento e ferramentas para que as pessoas tomem decisões mais conscientes sobre suas escolhas energéticas.
",,CAPACITIA (ALUNOS),_VALIDANDO_,FALSE,,,,,,,,,,,,Baixar
33,DIREITOS PCD,,,SIA / DTDS,_VALIDANDO_,TRUE,SIA+,,,,,,,,,,,
34,SERVIÇOS PCD,,,SIA / DTDS,_VALIDANDO_,TRUE,SIA+,,,,,,,,,,,
35,GERADOR LEGENDA #PRATODOMUNDO,,,SIA / DTDS,_VALIDANDO_,TRUE,SIA+,,,,,,,,,,,
36,LINGUAGEM SIMPLES (EDITOR),,,SIA / DTDS,_VALIDANDO_,TRUE,SIA+,,,,,,,,,,,
37,LINGUAGEM SIMPLES (AVALIADOR),,,SIA / DTDS,_VALIDANDO_,TRUE,SIA+,,,,,,,,,,,
38,ED - ECONOMIA DIGITAL,,,SIA / DEDG,_VALIDANDO_,TRUE,SIA,,,,,,,,,,,
43,EduAI: A Revolução da Educação,"Aprimorar a experiência do aluno em cursos EAD com ferramentas de IA avançadas, desde análise de dados até chatbots personalizados.",,CAPACITIA (ALUNOS),_VALIDANDO_,,EDUCAÇÃO,Cidadão,,,,,,,,,,Baixar
44,"Lumi, a assistente virtual especialista em coletar informações e analisar dados em casos criminais.","Prompts para Coleta de Informações em Casos Criminais. Otimizando a coleta de informações de testemunhas em investigações criminais.
Objetivo: criar uma ferramenta que não apenas colete dados de forma eficiente, mas também os analise e os apresente de maneira útil para investigadores e advogados.",,CAPACITIA (ALUNOS),_VALIDANDO_,,SEGURANÇA PÚBLICA,Gestão Pública,,,,,,,,,,Baixar
46,ChatBot.pi Cidadão: Simplificando o Acesso aos Serviços Públicos do Estado do Piauí.,"Uma plataforma inovadora que facilita o acesso aos serviços públicos do Estado do Piauí para todos os cidadãos.
A plataforma disponibiliza mais de 50 serviços online, como emissão de documentos auxiliares, links para agendamento de consultas, informações sobre programas sociais e muito mais.
Com o ChatBot.pi Cidadão, os usuários podem interagir de forma natural e intuitiva, recebendo respostas rápidas e personalizadas.",,CAPACITIA (ALUNOS),_VALIDANDO_,,CIDADANIA,Cidadão,,,,,,,,,,Baixar
49,OMNICONSULT,"Assistente virtual da OMNIConsult, criado especialmente para ajudar pessoas a tirarem do papel a ideia de abrir um negócio próprio.",,CAPACITIA (ALUNOS),_VALIDANDO_,,,,,,,,,,,,,
50,Protocolo Fluxo Societário: Gestão e Análise de Participações Societárias com Utilização de IA,"O Protocolo Fluxo Societário tem como objetivo criar uma planilha detalhada das participações societárias e cargos de administração de um cliente específico, utilizando exclusivamente as informações fornecidas durante o chat. A planilha final deve incluir detalhes das empresas nas quais o cliente tem ou teve participação, sem adicionar qualquer dado hipotético ou presumido.",,CAPACITIA (ALUNOS),_VALIDANDO_,,JURÍDICO,Empresas,,,,,,,,,,Baixar
51,Criação de Notas Técnicas Automatizadas para o Evento CAFÉ INOVA,"Um assistente virtual para gerar automaticamente notas técnicas sobre a participação de servidores públicos no evento CAFÉ INOVA, promovido pela Diretoria de Inovação em Serviços Públicos da SEAD-PI. Os dados dos participantes são coletados através de um formulário do Google Forms e armazenados em uma planilha do Google Sheets.",,CAPACITIA (ALUNOS),_VALIDANDO_,,GESTÃO PÚBLICA,Gestão Pública,,,,,,,,,,Baixar
52,Tote: Assistente de Inteligência Artificial para Gestores Públicos,"O Tote é uma ferramenta inovadora de inteligência artificial (IA) desenvolvida para auxiliar gestores públicos em suas tarefas e decisões diárias. Através de uma interface amigável, o Tote permite que você obtenha informações relevantes sobre administração pública, legislação e processos de forma rápida e eficiente.",,CAPACITIA (ALUNOS),_VALIDANDO_,,GESTÃO PÚBLICA,Gestão Pública,,,,,,,,,,Baixar
53,Desenvolvimento do Bot de Análise Eleitoral,"Apresentação do processo de criação do bot de análise eleitoral, utilizando dados do TSE e IBGE.",,CAPACITIA (ALUNOS),_VALIDANDO_,,GESTÃO PÚBLICA,Gestão Pública,,,,,,,,,,Baixar
54,Assistente de Correção de Texto: Comunicação Jornalística Aprimorada,"Ferramenta Intuitiva: Revisão automatizada de textos jornalísticos.
Comunicação Aprimorada: Notícias mais claras e de fácil entendimento.",,CAPACITIA (ALUNOS),_VALIDANDO_,,COMUNICAÇÃO,Gestão Pública,,,,,,,,,,Baixar
57,ARIDE: Agente de Raciocínio Inteligente para Dados Estratégicos,"Centralizar dados: Agente multifuncional unificando múltiplas fontes internas e externas.
Apoiar decisões: Respostas rápidas baseadas em inteligência artificial e fatos.
Automatizar análises: Relatórios e análises gerados automaticamente para maior eficiência.
Transformar dados em conhecimento: Converta dados brutos em informações acionáveis estratégicas.",,CAPACITIA (ALUNOS),_VALIDANDO_,,GESTÃO PÚBLICA,Gestão Pública,,,,,,,,,,Baixar
